1.0	China mission report	calls	China 's vigorous public health measures disease containment effort
1.0	China mission report	calls	China 's health measures toward coronavirus disease containment effort
1.0	China joint mission report	calls	China 's health measures toward coronavirus disease containment effort
1.0	China joint mission report	calls By	striking contrast
1.0	China joint mission report	calls	China 's vigorous health measures toward coronavirus disease containment effort
1.0	China joint mission report	calls	China 's vigorous health measures most ambitious disease containment effort
1.0	China joint mission report	calls	China 's vigorous public health measures disease containment effort
1.0	China joint mission report	calls	China 's health measures most ambitious disease containment effort
1.0	China mission report	calls	China 's health measures disease containment effort
1.0	China joint mission report	calls	China 's health measures ambitious disease containment effort
1.0	China joint mission report	calls	China 's health measures toward coronavirus most ambitious disease containment effort
1.0	China mission report	calls	China 's public health measures most ambitious disease containment effort
1.0	China joint mission report	calls	China 's vigorous public health measures ambitious disease containment effort
1.0	China mission report	calls By	contrast
1.0	China mission report	calls	China 's vigorous health measures disease containment effort
1.0	China mission report	calls	China 's vigorous health measures ambitious disease containment effort
1.0	China mission report	calls	China 's vigorous health measures toward coronavirus ambitious disease containment effort
1.0	China mission report	calls	China 's health measures ambitious disease containment effort
1.0	China joint mission report	calls	China 's public health measures most ambitious disease containment effort
1.0	China joint mission report	calls	China 's vigorous public health measures most ambitious disease containment effort
1.0	China joint mission report	calls	China 's public health measures toward coronavirus ambitious disease containment effort
1.0	China mission report	calls	China 's health measures toward coronavirus ambitious disease containment effort
1.0	China joint mission report	calls By	contrast
1.0	China joint mission report	calls	China 's health measures disease containment effort
1.0	China joint mission report	calls	China 's public health measures disease containment effort
1.0	China joint mission report	calls	China 's vigorous health measures disease containment effort
1.0	China joint mission report	calls	China 's vigorous health measures ambitious disease containment effort
1.0	China joint mission report	calls	China 's public health measures toward coronavirus disease containment effort
1.0	China mission report	calls	China 's public health measures ambitious disease containment effort
1.0	China mission report	calls	China 's health measures toward coronavirus most ambitious disease containment effort
1.0	China joint mission report	calls	China 's health measures toward coronavirus ambitious disease containment effort
1.0	China mission report	calls	China 's public health measures disease containment effort
1.0	China mission report	calls	China 's health measures most ambitious disease containment effort
1.0	China joint mission report	calls	China 's public health measures ambitious disease containment effort
1.0	China mission report	calls	China 's vigorous health measures toward coronavirus most ambitious disease containment effort
1.0	China mission report	calls	China 's vigorous health measures toward coronavirus disease containment effort
1.0	China	avoided	number
1.0	nation	on	economy
1.0	China	avoided number	have severe effects on nation 's economy
1.0	China	avoided	substantial number of cases
1.0	China	avoided	number of cases
1.0	China	avoided number	although have effects
1.0	China	avoided number	have severe effects
1.0	China	avoided number	although have effects on nation 's economy
1.0	China	avoided	substantial number
1.0	China	avoided number	have effects
1.0	China	avoided number	have effects on nation 's economy
1.0	China	avoided number	although have severe effects
1.0	China	avoided number	although have severe effects on nation 's economy
1.0	countries	activate	level
0.4439775966268044	countries	highest level of	response management protocols
0.4439775966268044	countries	level of	response management protocols
0.4439775966268044	countries	highest level of	national response management protocols
1.0	countries	activate	level of response management protocols
1.0	countries	activate	highest level of response management protocols
1.0	countries	activate	level of national response management protocols
1.0	countries	activate	highest level of national response management protocols
1.0	countries	activate	highest level
0.4439775966268044	countries	level of	national response management protocols
1.0	China 's success	rests largely with	administrative system
1.0	China	has	success
1.0	China 's success	rests with	system
1.0	it	mobilise in	times of threat
1.0	China 's success	rests largely with	strong system
1.0	China 's success	rests with	strong system
1.0	China 's success	rests largely with	system
1.0	China 's success	rests with	strong administrative system
1.0	it	mobilise in	times
1.0	China 's success	rests with	administrative system
1.0	China 's success	rests largely with	strong administrative system
1.0	China	from	experience
1.0	nations	lack	China 's command control political economy
1.0	presidents	learn from	China 's experience
1.0	nations	lack	China 's command control economy
1.0	other nations	lack	China 's command control political economy
1.0	ministers	learn from	China 's experience
1.0	China	has	economy
1.0	prime ministers	learn from	China 's experience
1.0	other nations	lack	China 's command control economy
1.0	countries	have successfully dealt with	individual cases
1.0	countries	have so far successfully dealt with	individual cases
1.0	countries	have far dealt with	individual cases
1.0	countries	have successfully dealt with	cases
1.0	countries	have so far successfully dealt with	cases
1.0	countries	have dealt with	cases
1.0	countries	have far successfully dealt with	cases
1.0	countries	have far successfully dealt with	individual cases
1.0	countries	have dealt with	individual cases
1.0	countries	have so far dealt with	cases
1.0	countries	have far dealt with	cases
1.0	countries	have so far dealt with	individual cases
1.0	outbreaks	could overwhelm	LMIC health services
1.0	outbreaks	could easily overwhelm	LMIC health services
1.0	large outbreaks	could easily overwhelm	LMIC health services
1.0	large outbreaks	could overwhelm	LMIC health services
1.0	spread	dispersing	pressure on hospitals
1.0	Public health measures	will play	their part
1.0	spread	dispersing	pressure
1.0	health measures	will play	their part
1.0	they	draw measures on	implementing
1.0	governments	will need	to decide
1.0	Individual governments	will need	decide
1.0	they	draw	measures
1.0	governments	will need	decide
1.0	they	draw	line
1.0	Individual governments	will need	to decide
1.0	they	draw line on	implementing
1.0	mortality	is	substantial
1.0	mortality	is substantial	Xiaobo Yang colleagues have shown
1.0	mortality	is substantial	As colleagues have shown
1.0	ill patients	is with	SARS CoV 2 pneumonia
1.0	mortality	is substantial	Xiaobo Yang have shown
1.0	mortality	is substantial	colleagues have shown
1.0	mortality	is substantial	As Xiaobo Yang have shown
1.0	mortality	is substantial	As Xiaobo Yang colleagues have shown
1.0	critical care resources	is in	hospitals
1.0	they	wrote in	Lancet Respiratory Medicine
1.0	they	wrote recently in	Lancet Respiratory Medicine
1.0	response	should therefore reflect	national security threat
1.0	response	should therefore reflect	security threat
1.0	political response	should therefore reflect	security threat
1.0	political response	should reflect	national security threat
1.0	political response	should therefore reflect	national security threat
1.0	response	should reflect	national security threat
1.0	response	should reflect	security threat
1.0	political response	should reflect	security threat
1.0	Equipment	must	must made
1.0	specialists	representing	care unit
1.0	specialists	representing	intensive care unit
1.0	hospitals	set up	core team
1.0	hospitals	set up	core team including hospital management
1.0	income countries	facing	their outbreaks
1.0	High income countries	facing	their own outbreaks
1.0	income countries	facing	their own outbreaks
1.0	High income countries	now facing	their outbreaks
1.0	High income countries	take	reasoned risks
1.0	High income countries	now facing	their own outbreaks
1.0	income countries	now facing	their outbreaks
1.0	income countries	now facing	their own outbreaks
1.0	High income countries	facing	their outbreaks
1.0	income countries	take	risks
1.0	income countries	take	reasoned risks
1.0	High income countries	take	risks
1.0	They	must abandon	their fears of short term public
1.0	They	must abandon	their fears of negative term public
1.0	They	must abandon	their fears of negative short term public
1.0	They	must abandon	their fears
1.0	They	must abandon	their fears of term public
